,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,date_with_day,desc
0,2018,Confirmed,Abadullah Hananzai,,Afghanistan,,,Male,,,Journalist,Killed,Murder,Killed,Staff,"Radio Azadi,Radio Free Europe/Radio Liberty",Producer,"Crime,Politics,War","Radio,Internet",Afghanistan,Kabul,,,Kabul,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"April 30, 2018","Abadullah Hananzai, a video journalist with U.S.-funded RFE/RL’s Radio Azadi, was killed in a double suicide bomb attack on April 30, 2018, in Kabul, Afghanistan, that left over 25 dead, among them at least nine journalists including Hananzai, RFE/RL reported. Hananzai was killed in the second blast, in which the attacker disguised himself as a media worker and detonated his explosives in a group of reporters, CPJ documented. Kabul police said the bomber deliberately targeted the press."
1,1998,Confirmed,Abay Hailu,,Ethiopia,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Agiere,Print Reporter,"Human Rights,Politics",Print,Ethiopia,Addis Ababa,,,Addis Ababa,,Local,Government Officials,Confirmed,,No,,,,,,,,,,,,,,"February 9, 1998","Abay, a reporter for the weekly Agiere and editor-in-chief of the now-defunct Welafen, died after nearly one year in prison. Initially refused treatment for a deteriorating medical condition, he was eventually hospitalized but died five days later. He was arrested on February 22, 1997, after publishing a report about the threat of Islamic fundamentalism in Ethiopia. He remained in jail because he was unable to meet bail and was sentenced in November to a year in prison."
2,2012,Confirmed,Abd al-Karim al-Ezzo,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Freelance,Camera Operator,War,Internet,Syria,Homs,,,Homs,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"December 21, 2012","Al-Ezzo, a videographer who worked with the Syrian MediaCenter, an opposition-aligned organization documenting the civil conflict, diedfrom wounds he sustained after being shot multiple times by asniper in the Homs neighborhood of Al-Abbasiya, according to Al-Jazeeraand other news reports."
3,1996,Confirmed,Abdallah Bouhachek,,Algeria,,,Male,,,Journalist,,Murder,Killed,Staff,Révolution et Travail,Editor,Politics,Print,Algeria,Blida,,,Blida,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"February 10, 1996","Bouhachek, editor of Révolution et Travail, the weekly ofAlgeria’s largest workers union, was shot and killed near the town ofBlida, south of Algiers, on his way to work."
4,2013,Confirmed,Abdel Aziz Mahmoud Hasoun,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Masar Press,Internet Reporter,"Human Rights,Politics,War",Internet,Syria,"Jobar, Damascus",,,"Jobar, Damascus",,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"September 5, 2013","Hasoun, also known as Qusay Al-Shami, was a correspondentfor the opposition news agency Masar Press. He was killed by a tank shell whilecovering clashes between rebel and regime forces in the Damascus suburb ofJobar, MasarPress and local humanrights groups reported. News reportssaid the neighborhood saw heavy clashes and shelling by regime forces that dayas part of a general governmentoffensive in the Damascus suburbs in the aftermath of the August 21chemical weapons attack that killed hundreds of civilians. The Syrian Journalists Association reported that beforejoining Masar Press, Hasoun had documented the uprising as a citizenjournalist. Under his pseudonym Qusay al-Shami, Hassoun gave many interviewsto international newsoutlets about the latest developmentsin the Damascus suburbs."
5,2012,Confirmed,Abdel Karim al-Oqda,,Syria,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/abuhassan.youtube.cropped.jpg,,Journalist,,Murder,Killed,Staff,Shaam News Network,Camera Operator,"Human Rights,War",Internet,Syria,Hama,,,Hama,,Local,Military Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"September 19, 2012","Al-Oqda, a cameraman and reporter for the citizen newsorganization Shaam News Network, was killedwhen security forces launched an assault on his home in the central city ofHama, burning his house and killing three of his friends, according to Shaamand international media outlets citing local activists."
6,2006,Confirmed,Abdel Karim al-Rubai,,Iraq,,,Male,,,Journalist,,Murder,Killed,Staff,Al-Sabah,Editor,War,Print,Iraq,Baghdad,,,Baghdad,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"September 9, 2006","Al-Rubai, 40, a design editor for Iraq’s state-run daily Al-Sabah, was shot by several gunmen while traveling to work in the eastern Baghdad neighborhood known as Camp Sara. The driver of the car was seriously wounded, media sources told CPJ."
7,2013,Confirmed,Abdel Karim Nazir Ismail,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Freelance,Camera Operator,"Human Rights,War",Internet,Syria,Arbin,,,Arbin,,Local,,Confirmed,,,,,,,,,,,,,,,,"January 31, 2013","Ismail, and two of his colleagues, Issam Obeid and Loay al-Nimir,were killed when a mortar shell hit them while they were filming clashesbetween security forces and armed rebels in the southern Damascus suburb ofArbin, according to news reports. The rebel Free Syrian Army captured Arbinin July 2012, but has been engaged in continuous battle with Syrian governmentforces over the suburb, according to news reports. The three videographers contributed to the Syrian MediaCenter, alocal news organization that has posted thousands of videos and news storiesdocumenting the Syrian conflict since March 2011."
8,2004,Confirmed,Abdel Sattar Abdel Karim,,Iraq,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Al Ta'akhy,Photographer,"Culture,Sports",Print,Iraq,Arbil,,,Arbil,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"February 1, 2004","Abdel Karim was among six journalists killed when the offices of the PatrioticUnion of Kurdistan (PUK) and the Kurdistan Democratic Party (KDP)were attacked in twin suicide bombings as the two Kurdish groups hostedguests to commemorate the first day of the Muslim holiday Eid. More than 100 people, including several senior leaders in both parties,were killed in the 10:45 a.m. attack. Kurdish groups blamed the bombingson Islamist extremist groups based in northern Iraq who oppose thesecular Kurdish political groups."
9,1993,Confirmed,Abdelhamid Benmeni,,Algeria,,,Male,,,Journalist,,Murder,Killed,Staff,Algérie-Actualité,Print Reporter,War,Print,Algeria,Algiers,,,Algiers,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"August 9, 1993","Benmeni, a reporter who held an administrative position at the French-language weekly magazine Algérie-Actualité, was killed by three unknown assailants at his home in Eucalyptus, Algiers."
